
AC NO. , AC NAME , CANDIDATE NAME , SEX , PARTY , GENERAL , POSTAL , TOTAL , % VOTES POLLED , TOTAL ELECTORS ,
26,Khamgaon,3 VASATKAR SHARAD SUKHDEV,MALE,VBA,25839,118,25957,13.10%,280436,
26,Khamgaon,4 NOTA,,NOTA,1861,12,1873,0.95%,280436,
26,Khamgaon,5 Adv. DILIP MANOHAR BHAGAT,MALE,BSP,1422,2,1424,0.72%,280436,
26,Khamgaon,6 MOHMMED AZHAR MOHMMAD SHAUKAT,MALE,TPSTP,1293,1,1294,0.65%,280436,
26,Khamgaon,7 AZMATULLAH KHAN RAHEMATULLAH KHAN,MALE,IND,913,1,914,0.46%,280436,
26,Khamgaon,8 SHABBIRKHAN GULSHERKHAN,MALE,IND,679,,679,0.34%,280436,
26,Khamgaon,9 BHIMRAO HARISHCHANDRA GAWAI,MALE,IND,373,,373,0.19%,280436,
26,Khamgaon,10 UDDHAO ONKAR ATOLE,MALE,IND,357,,357,0.18%,280436,
26,Khamgaon,11 SHYAM BANSILAL SHARMA,MALE,IND,339,1,340,0.17%,280436,
26,Khamgaon,12 AKASH DEVIDAS GAWAI,MALE,IND,216,1,217,0.11%,280436,
26,Khamgaon,13 RAMESH KESHAORAO KHIRADKAR,MALE,IND,197,,197,0.10%,280436,
 TOTAL : ,,,,,197120,1051,198171,70.67%,,
27,Jalgaon (Jamod),1 Kute Dr. Sanjay Shriram,MALE,BJP,102188,547,102735,50.43%,289736,
27,Jalgaon (Jamod),2 Dr. Swati Sandeep Wakekar,FEMALE,INC,67093,411,67504,33.13%,289736,
27,Jalgaon (Jamod),3 Sangitrao Bhaskarrao Bhongal,MALE,VBA,29887,98,29985,14.72%,289736,
27,Jalgaon (Jamod),4 NOTA,,NOTA,2226,6,2232,1.10%,289736,
27,Jalgaon (Jamod),5 Ramesh Dattu Nawthale,MALE,BSP,1276,5,1281,0.63%,289736,
 TOTAL : ,,,,,202670,1067,203737,70.32%,,
28,Akot,1 Prakash Gunwantrao Bharsakale,MALE,BJP,48299,287,48586,26.56%,285150,
